,body,climate_control,color,cruise_control,defects,door_count,driver_side,drivetrain,electric_windows,engine,engine_power,first_registration_country,fuel,gear_count,gearbox,gps,inspection,leather_seats,manufacturer,model,price,seats,year
10277,other,,,1.0,,4/5,1.0,FWD,1.0,2.0l.,103.0,D,diesel,6.0,0.0,,,,Volkswagen,Touran,2490,7.0,2004
10278,hatchback,1.0,,1.0,,4/5,1.0,FWD,1.0,2.2l.,103.0,,diesel,6.0,0.0,,2019-12,1.0,Honda,Civic,2490,5.0,2006
10279,avant,1.0,,,,4/5,1.0,FWD,1.0,1.7l.,81.0,I,diesel,6.0,0.0,,2021-05,,Opel,Astra,2490,5.0,2009
10280,avant,,,,,4/5,1.0,AWD,,2.0l.,103.0,,diesel,,0.0,,,,Volkswagen,Passat,2495,5.0,2006
10281,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,100.0,D,diesel,6.0,1.0,1.0,,1.0,Peugeot,407,2499,5.0,2007
10282,coupe,1.0,,1.0,,2/3,1.0,FWD,1.0,1.9l.,74.0,D,diesel,,0.0,,,,Opel,Astra,2499,5.0,2006
10283,other,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,85.0,D,diesel,6.0,0.0,1.0,,,Volkswagen,Sharan,2499,7.0,2004
10284,suv,,,,,4/5,1.0,AWD,1.0,2.9l.,120.0,D,diesel,,1.0,,,,Hyundai,Terracan,2499,5.0,2004
10285,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,88.0,D,diesel,6.0,0.0,,,,Opel,Astra,2499,5.0,2006
10286,other,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,105.0,D,diesel,6.0,0.0,,,,Mazda,5,2499,7.0,2007
10287,hatchback,1.0,,,,2/3,1.0,FWD,1.0,1.9l.,77.0,D,diesel,6.0,0.0,,,,Volkswagen,Golf,2499,5.0,2005
10288,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,88.0,D,diesel,6.0,0.0,1.0,,,Opel,Astra,2499,5.0,2007
10289,hatchback,1.0,,,,4/5,1.0,FWD,1.0,2.0l.,103.0,D,diesel,6.0,0.0,,2020-04,,Volkswagen,Golf,2499,5.0,2004
10290,other,,,1.0,,4/5,1.0,FWD,1.0,1.9l.,,D,diesel,6.0,0.0,,,,Opel,Zafira,2499,7.0,2006
10291,hatchback,1.0,,1.0,,4/5,1.0,FWD,1.0,1.7l.,74.0,,diesel,5.0,0.0,,,,Opel,Astra,2499,5.0,2005
10292,hatchback,1.0,,1.0,,4/5,1.0,FWD,1.0,1.4l.,50.0,,diesel,5.0,0.0,,,,Mazda,2,2499,5.0,2008
10293,avant,1.0,,,,4/5,1.0,,1.0,2.0l.,105.0,D,diesel,,0.0,,,,Mazda,6,2499,,2007
10294,hatchback,1.0,,1.0,,4/5,1.0,FWD,1.0,1.4l.,61.0,D,petrol,5.0,0.0,,,,Honda,Jazz,2499,5.0,2005
10295,avant,1.0,,1.0,,4/5,1.0,,1.0,1.9l.,,D,diesel,6.0,0.0,1.0,,,Skoda,Octavia,2499,5.0,2005
10296,sedan,1.0,,,,4/5,1.0,FWD,1.0,2.0l.,108.0,,petrol,,1.0,,,,Toyota,Avensis,2499,5.0,2005
10297,avant,1.0,,,,4/5,1.0,FWD,1.0,2.5l.,120.0,D,diesel,6.0,1.0,1.0,,,Audi,A4,2499,,2004
10298,hatchback,,,,,4/5,1.0,FWD,,1.6l.,77.0,D,petrol/lpg,5.0,0.0,,,,Volkswagen,Caddy,2499,7.0,2005
10299,other,,,,,4/5,1.0,FWD,,2.5l.,75.0,,diesel,5.0,0.0,,,,Volkswagen,Transporter,2499,9.0,1999
10300,hatchback,1.0,,,,4/5,1.0,,1.0,1.2l.,,,petrol,,0.0,,,,Volkswagen,Polo,2499,,2006
10301,avant,,,,,4/5,1.0,FWD,1.0,1.9l.,,,diesel,5.0,0.0,,2019-12,,Skoda,Fabia,2499,5.0,2006
10302,sedan,1.0,,1.0,,4/5,1.0,RWD,1.0,2.2l.,90.0,,diesel,,1.0,,2021-01,1.0,Mercedes-Benz,E 220,2499,5.0,2003
10303,other,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,88.0,,diesel,6.0,1.0,,2021-04,1.0,Opel,Zafira,2500,7.0,2006
10304,avant,1.0,,1.0,,4/5,1.0,,1.0,2.5l.,120.0,,diesel,,1.0,,2021-01,,Audi,A4,2500,,2007
10305,hatchback,1.0,,,,4/5,1.0,FWD,1.0,1.5l.,63.0,D,diesel,5.0,0.0,,,,Nissan,Note,2500,5.0,2006
10306,other,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,110.0,D,diesel,6.0,0.0,,2021-05,,Opel,Zafira,2500,7.0,2006
10307,other,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,110.0,,diesel,6.0,1.0,1.0,2021-05,,Opel,Zafira,2500,7.0,2006
10308,sedan,1.0,,1.0,,4/5,1.0,FWD,1.0,2.4l.,120.0,D,diesel,5.0,0.0,,2021-01,1.0,Volvo,S60,2500,5.0,2004
10309,sedan,1.0,,1.0,,4/5,1.0,RWD,1.0,3.0l.,135.0,D,diesel,5.0,1.0,1.0,2020-06,1.0,BMW,530,2400,5.0,2000
10310,other,,,,,4/5,1.0,FWD,,2.5l.,75.0,,diesel,,0.0,,2019-09,,Volkswagen,Caravelle,2500,,1996
10311,suv,,,,,4/5,1.0,AWD,,2.0l.,85.0,,diesel,5.0,0.0,,2021-05,,Toyota,RAV-4,2500,5.0,2003
10312,avant,1.0,,,,4/5,1.0,RWD,1.0,3.0l.,,,diesel,,1.0,,2020-08,,Mercedes-Benz,300,2500,,1993
10313,sedan,,,,,4/5,0.0,RWD,,2.5l.,130.0,,petrol,6.0,1.0,,,,BMW,523,2500,5.0,2007
10314,other,,,,,4/5,1.0,,1.0,2.2l.,,,diesel,,0.0,,,,Toyota,Corolla Verso,2500,7.0,2005
10315,other,,,,,4/5,1.0,FWD,1.0,1.7l.,74.0,D,diesel,6.0,0.0,,2021-05,,Opel,Meriva,2500,5.0,2008
10316,avant,1.0,,1.0,,4/5,1.0,FWD,1.0,2.0l.,100.0,D,diesel,6.0,0.0,,2021-01,1.0,Volvo,V50,2500,5.0,2005
10317,sedan,1.0,,1.0,,4/5,1.0,AWD,1.0,3.3l.,165.0,D,diesel,,1.0,1.0,2020-02,1.0,Audi,A8,2500,5.0,2000
10318,sedan,1.0,,1.0,,4/5,1.0,FWD,1.0,1.9l.,96.0,D,diesel,6.0,0.0,1.0,2019-12,1.0,Audi,A6,2500,5.0,2002
10319,other,1.0,,1.0,,4/5,1.0,FWD,1.0,2.2l.,130.0,D,diesel,6.0,0.0,,2020-01,,Toyota,Corolla Verso,2500,7.0,2005
10320,sedan,,,,,4/5,1.0,RWD,1.0,2.9l.,135.0,,diesel,5.0,0.0,,2020-02,1.0,BMW,330,2500,5.0,2001
10321,other,,,,,4/5,1.0,,,2.2l.,,,diesel,,0.0,,,,Ford,Transit,2500,,2008
